CODLOCAL | DESCRLOCAL         | LOCAL_PATH                                       | LOCAL_PATH_CODES     | LOCAL_DEPTH | CODPROD | DESCRPROD                                | UNIDADE | MARCA      | NCM      | TOTAL_ESTOQUE     
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 7570    | ACENDEDOR CIGARRO UNIVERSAL 12V          | MM      | GENERICO   | 90328924 | 5                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 3009    | ACENDEDOR MODULO DE IGNICAO GAUSS GA2064 | MM      | GAUSS      | 90328924 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 8489    | ACIDO CLORIDRICO MURIATICO 33 ATE 35     | MM      | GENERICO   | 38140090 | 4                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12656   | ACOPLADOR P/ GRAXA LUBEFER LUB-12        | MM      | GENERICO   | 84798999 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 3246    | ACOPLAMENTO ELASTICO FLEXIVEL CR03       | MM      | GENERICO   | 84362900 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12168   | ADAPTADO TEE CENTR MACHO JIC X MACHO JIC | MM      | GENERICO   | 39174090 | 10                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 5558    | ADAPTADOR 90 MACHO UNF X MACHO JIC 37    | MM      | GENERICO   | 40103100 | 19                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 6825    | ADAPTADOR COTOVELO 90 MACHO LATAO        | MM      | GENERICO   | 40103100 | 41                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12906   | ADAPTADOR FEMEA ROSCA 3/4 REDUCAO 1/2    | MM      | GENERICO   | 40103100 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 5833    | ADAPTADOR HDMI MACHO PARA VGA FEMEA      | MM      | GENERICO   | 85444900 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 6891    | ADAPTADOR JUMBO FEMEA 1451  LPK-50022    | MM      | GENERICO   | 84819090 | 167               
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 4486    | ADAPTADOR MF JIC 523                     | MM      | GENERICO   | 40103100 | 27                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 15154   | ADAPTADOR MN/JIC BSP                     | MM      | GENERICO   | 40103100 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12169   | ADAPTADOR RETO FEMEA NPT X MACHO JIC     | MM      | GENERICO   | 40103100 | 25                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 5344    | ADAPTADOR RETO MACHO                     | MM      | GENERICO   | 40103100 | 113               
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 10608   | ADAPTADOR RETO MACHO BSP X MACHO JIC     | MM      | GENERICO   | 40103100 | 17                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12167   | ADAPTADOR RETO MACHO MM X MACHO MM       | MM      | GENERICO   | 40103100 | 16                
