CODLOCAL | CODPROD | DESCRLOCAL         | DESCRPROD                                | LOCAL_DEPTH | LOCAL_PATH                                       | LOCAL_PATH_CODES     | MARCA      | NCM      | TOTAL_ESTOQUE      | UNIDADE
---------+---------+--------------------+------------------------------------------+-------------+--------------------------------------------------+----------------------+------------+----------+--------------------+--------
101000   | None    | ALMOX MANUTENCAO   | None                                     | 1           | GIGANTÃO > ALMOX MANUTENCAO                      | 100000.101000        |            |          | 0                  |        
101001   | 2779    | ALMOX PECAS        | ABRACADEIRA 73MM ACO INOX CANALETA       | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73261900 | 15                 | MM     
101001   | 5296    | ALMOX PECAS        | ABRACADEIRA CANO INJETOR 3 CANOS MB      | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73261900 | 3                  | MM     
101001   | 13749   | ALMOX PECAS        | ABRACADEIRA CRUZETA CARDAN               | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87089990 | 8                  | MM     
101001   | 6565    | ALMOX PECAS        | ABRACADEIRA CRUZETA CARDAN MB 6959957010 | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | MERCEDES B | 87089990 | 2                  | MM     
101001   | 3803    | ALMOX PECAS        | ABRACADEIRA ESCAPE 75-95MM INOX MB       | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | None     | 2                  | MM     
101001   | 11768   | ALMOX PECAS        | ABRACADEIRA ESPELHO RETROVISOR           | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73261900 | 11                 | MM     
101001   | 7393    | ALMOX PECAS        | ABRACADEIRA FILTRO AR 2S0129142A         | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | MERCEDES B | None     | 5                  | MM     
101001   | 13168   | ALMOX PECAS        | ABRACADEIRA LATAO BIPARTIDA              | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73261900 | 9                  | MM     
101001   | 6400    | ALMOX PECAS        | ABRACADEIRA MANGUEIRA TORRE 1360386      | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | HYSTER     | 87088000 | 2                  | MM     
101001   | 2213    | ALMOX PECAS        | ABRACADEIRA NYLON                        | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 39269090 | 28930              | MM     
101001   | 2525    | ALMOX PECAS        | ABRACADEIRA ROSCA SEM FIM 14MM           | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73261900 | 1162               | MM     
101001   | 2521    | ALMOX PECAS        | ABRACADEIRA ROSCA SEM FIM FITA 9MM       | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73261900 | 365                | MM     
101001   | 2780    | ALMOX PECAS        | ABRACADEIRA TIPO T TUCHO                 | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73261900 | 40                 | MM     
101001   | 8148    | ALMOX PECAS        | ABRACADEIRA TUBO FLEX VW 2S2253143B      | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73261900 | 2                  | MM     
101001   | 2778    | ALMOX PECAS        | ABRACADEIRA TUBO FLEXIVEL ESCAPE VOLKSWA | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73261900 | 1                  | MM     
101001   | 7072    | ALMOX PECAS        | ACABAMENTO COLUNA FRONTAL XCMG           | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | XCMG       | 40103100 | 1                  | MM     
101001   | 7073    | ALMOX PECAS        | ACABAMENTO COLUNA FRONTAL XCMG           | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | XCMG       | 40103100 | 3                  | MM     
101001   | 6204    | ALMOX PECAS        | ACABAMENTO DE PORTA DIREITO              | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | XCMG       | 40103100 | 1                  | MM     
101001   | 6464    | ALMOX PECAS        | ACABAMENTO DE PORTA DIREITO SANY         | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | XCMG       | None     | 2                  | MM     
101001   | 6465    | ALMOX PECAS        | ACABAMENTO DE PORTA ESQUERD SANY         | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | XCMG       | None     | 2                  | MM     
101001   | 6206    | ALMOX PECAS        | ACABAMENTO DE PORTA ESQUERDO             | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | XCMG       | 40103100 | 1                  | MM     
101001   | 8669    | ALMOX PECAS        | ACABAMENTO DEFLETOR LD ATEGO 9588840522  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | MERCEDES B | 87081000 | 2                  | MM     
101001   | 8670    | ALMOX PECAS        | ACABAMENTO DEFLETOR LE ATEGO 9588840422  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | MERCEDES B | 87081000 | 1                  | MM     
101001   | 13708   | ALMOX PECAS        | ACABAMENTO REGISTRO CROMADO              | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 84818099 | 5                  | MM     
101001   | 13735   | ALMOX PECAS        | ACABAMENTO VALVULA FREIO 2SP863921A      | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87081000 | 1                  | MM     
101001   | 6838    | ALMOX PECAS        | ACENDEDOR CENTELHADOR P/MAÇARICO         | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 96138000 | 3                  | MM     
101001   | 7570    | ALMOX PECAS        | ACENDEDOR CIGARRO UNIVERSAL 12V          | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 90328924 | 5                  | MM     
101001   | 3009    | ALMOX PECAS        | ACENDEDOR MODULO DE IGNICAO GAUSS GA2064 | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GAUSS      | 90328924 | 1                  | MM     
101001   | 8489    | ALMOX PECAS        | ACIDO CLORIDRICO MURIATICO 33 ATE 35     | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 38140090 | 4                  | MM     
101001   | 12656   | ALMOX PECAS        | ACOPLADOR P/ GRAXA LUBEFER LUB-12        | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 84798999 | 2                  | MM     
101001   | 3246    | ALMOX PECAS        | ACOPLAMENTO ELASTICO FLEXIVEL CR03       | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 84362900 | 2                  | MM     
101001   | 12168   | ALMOX PECAS        | ADAPTADO TEE CENTR MACHO JIC X MACHO JIC | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 39174090 | 10                 | MM     
101001   | 5558    | ALMOX PECAS        | ADAPTADOR 90 MACHO UNF X MACHO JIC 37    | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 40103100 | 19                 | MM     
101001   | 6825    | ALMOX PECAS        | ADAPTADOR COTOVELO 90 MACHO LATAO        | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 40103100 | 41                 | MM     
101001   | 12906   | ALMOX PECAS        | ADAPTADOR FEMEA ROSCA 3/4 REDUCAO 1/2    | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 40103100 | 1                  | MM     
101001   | 5833    | ALMOX PECAS        | ADAPTADOR HDMI MACHO PARA VGA FEMEA      | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 85444900 | 2                  | MM     
