CODLOCAL | CODPROD | DESCRLOCAL         | DESCRPROD                                | LOCAL_DEPTH | LOCAL_PATH                                       | LOCAL_PATH_CODES     | MARCA      | NCM      | TOTAL_ESTOQUE      | UNIDADE
101001   | 10001   | ALMOX PECAS        | COXIM SUPERIOR AMORTECEDOR DIANTEIRO VW  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | VOLKSWAGEN | 84312011 | 2                  | MM     
101001   | 12745   | ALMOX PECAS        | COXIM SUPORTE INF. RADIADOR 5Z0805757B   | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | VOLKSWAGEN | 40103100 | 1                  | MM     
101001   | 12744   | ALMOX PECAS        | COXIM SUPORTE INFERIOR RAD. 6Q0121367A   | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | VOLKSWAGEN | 40169990 | 1                  | MM     
101001   | 15277   | ALMOX PECAS        | COXIM SUSP. DIANT. CABINE ADAPTAÇÃO      | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87089990 | 2                  | MM     
101001   | 15279   | ALMOX PECAS        | COXIM SUSPENSÃO CABINE R-776             | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87089990 | 2                  | MM     
101001   | 12346   | ALMOX PECAS        | COXIM TRASEIRO DO MOTOR SUPORTE REI R621 | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | SUPORTE RE | 40169990 | 2                  | MM     
101001   | 6705    | ALMOX PECAS        | CRUZETA CARDAN (5-279X)                  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87089990 | 1                  | MM     
101001   | 5707    | ALMOX PECAS        | CRUZETA CARDAN ALBARUS ALB5-153 (5-153X) | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | ALBARUS    | 87089990 | 2                  | MM     
101001   | 10323   | ALMOX PECAS        | CRUZETA CARDAN ALBARUS ALB5-438 (5-438X) | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | ALBARUS    | 87089990 | 2                  | MM     
101001   | 8534    | ALMOX PECAS        | CRUZETA CARDAN CZ208 - 3500104           | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87085099 | 1                  | MM     
101001   | 6761    | ALMOX PECAS        | CRUZETA CARDAN CZ271 - 0004102731        | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87089990 | 1                  | MM     
101001   | 6886    | ALMOX PECAS        | CRUZETA CARDAN CZ285 - 3500205           | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87085099 | 7                  | MM     
101001   | 10496   | ALMOX PECAS        | CRUZETA CARDAN CZ-285 MR232151 - 196837  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87085099 | 2                  | MM     
101001   | 13750   | ALMOX PECAS        | CRUZETA CARDAN NAKATA M/VO               | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | NAKATA     | 87089990 | 2                  | MM     
101001   | 9290    | ALMOX PECAS        | CRUZETA CARDAN STAHL CZ210               | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | STAHL      | 87089990 | 2                  | MM     
